NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Vikram,,2022,Null,Null,8.5/10,37K,50,Action,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,Null,Null,,
Người Đàn Ông Toronto,The Man from Toronto,2022,C13,1h 50m,5.8/10,31K,36,Action,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,Patrick Hughes,Robbie Fox,Jason Blumenthal,336,68 34
The Princess,,2022,R,1h 34m,5.5/10,8.2K,40,Action,"When a strong-willed princess refuses to wed the cruel sociopath, she is kidnapped and locked in a remote tower of her father’s castle. With her vindictive suitor intent on taking her father’s throne, the princess must save the kingdom.",Le-Van Kiet,Ben Lustig,Joey King,277,66 43
Sát Thủ Đối Đầu,Bullet Train,2022,R,2h 6m,,,16,Action,Five assassins aboard a fast moving bullet train find out their missions have something in common.,David Leitch,Kôtarô Isaka,Joey King,,
Spiderhead,,2022,R,1h 46m,5.4/10,43K,38,Action,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",Joseph Kosinski,George Saunders,Paul Wernick,454,118 54
Thành Phố Mất Tích,The Lost City,2022,C13,1h 52m,6.1/10,82K,39,Action,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Aaron Nee,Adam Nee,Dana Fox,817,209 60
Gánh Nặng Ngàn Cân Của Tài Năng Kiệt Xuất,The Unbearable Weight of Massive Talent,2022,C16,1h 47m,7.1/10,58K,49,Action,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,Tom Gormican,Nicolas Cage,519,244 68
Rocketry: The Nambi Effect,,2022,Null,Null,9.2/10,17K,70,Action,"Based on the life of ISRO Scientist Nambi Narayanan who was framed of being a spy and arrested in 1994. Though free, he is still fighting for justice, with those police officials who have falsely implicated him, still free.",Madhavan,Null,Null,,
Thợ Săn Cổ Vật,Uncharted,2022,(Banned),1h 56m,6.4/10,151K,55,Action,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,Rafe Judkins,Matt Holloway,1.3K,252 45
Sinh Vật Huyền Bí: Những Bí Mật Của Dumbledore,Fantastic Beasts: The Secrets of Dumbledore,2022,C13,2h 22m,6.2/10,116K,53,Action,Professor Albus Dumbledore must assign Newt Scamander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.,David Yates,J.K. Rowling,Eddie Redmayne,1.2K,200 47
RRR (Rise Roar Revolt),,2022,Not Rated,3h 7m,8.0/10,88K,47,Action,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,S.S. Rajamouli,Vijayendra Prasad,Madhan Karky,1.3K,56 83
Morbius,,2022,C16,1h 44m,5.2/10,94K,76,Action,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Daniel Espinosa,Matt Sazama,Jared Leto,1.9K,230 35
Môn Phái Võ Mèo: Huyền Thoại Một Chú Chó,Paws of Fury: The Legend of Hank,2022,PG,1h 38m,5.6/10,933,59,Animation,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.",Chris Bailey,Mark Koetsier,Ed Stone,51,26 45
