NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Gangubai Kathiawadi,,2022,TV-MA,2h 32m,7.0/10,51K,"2,300",Biography,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",Sanjay Leela Bhansali,Sanjay Leela Bhansali,Prakash Kapadia,,
Bodies Bodies Bodies,,2022,R,1h 35m,,,35,Comedy,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,Sarah DeLappe,Amandla Stenberg,,
Hustle: Cuộc Đua NBA,Hustle,2022,C16,1h 57m,7.4/10,90K,37,Comedy,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,Jeremiah Zagar,Taylor Materne,Adam Sandler,409,111 68
The Munsters,,2022,Null,Null,,,72,Comedy,"Reboot of ""The Munsters"", that followed a family of monsters who moves from Transylvania to an American suburb.",Rob Zombie,Null,Null,,
"Good Luck to You, Leo Grande",,2022,R,1h 37m,7.1/10,9.2K,99,Comedy,"Nancy Stokes, a 55-year-old widow, is yearning for some adventure, human connection and some sex--some good sex.",Sophie Hyde,Katy Brand,Daryl McCormack,134,112 78
Mrs. Harris Goes to Paris,,2022,PG,1h 55m,7.5/10,727,69,Comedy,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own.",Anthony Fabian,Anthony Fabian,Keith Thompson,23,42 70
Clerks III,,2022,R,1h 55m,,,254,Comedy,"Dante, Elias, and Jay and Silent Bob are enlisted by Randal after a heart attack to make a movie about the convenience store that started it all.",Kevin Smith,Kevin Smith,Sarah Michelle Gellar,,
"Hello, Goodbye and Everything in Between",,2022,TV-14,1h 22m,4.9/10,1.8K,431,Comedy,"After making a pact to break up before college, Claire and Aidan retrace the steps of their relationship on one last epic date, revisiting familiar and unexpected places as they question: stay together or say goodbye forever?",Michael Lewen,Amy Reed,Jennifer E. Smith,24,25 54
Bố Của Cô Dâu,Father of the Bride,2022,PG-13,1h 57m,5.9/10,7.1K,166,Comedy,"A father's coming to grips with his daughter's upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American clan.",Gary Alazraki,Matt Lopez,Andy Garcia,165,27 65
Cha Cha Real Smooth,,2022,R,1h 47m,7.4/10,11K,188,Comedy,A young man who works as a Bar Mitzvah party host strikes up a friendship with a mother and her autistic daughter.,Cooper Raiff,Cooper Raiff,Dakota Johnson,89,114 69
Brian and Charles,,2022,PG,1h 30m,6.7/10,1.7K,612,Comedy,"After a particularly harsh winter Brian goes into a deep depression; completely isolated and with no one to talk to, Brian does what any sane person would do when faced with such a melancholic situation. He builds a robot.",Jim Archer,David Earl,David Earl,37,55 66
Ante Sundharaniki,,2022,Null,Null,7.8/10,4.2K,991,Comedy,"A Hindu Brahmin falls for a Christian girl and they both lies to their parents, only for their lies to be revealed.",Vivek Athreya,Null,Null,,
Jug Jugg Jeeyo,,2022,Null,Null,7.1/10,32K,150,Comedy,Two couples from different generations confront their issues after marriage.,Raj Mehta,Null,Null,,
Cưới Em Đi,Marry Me,2022,C13,1h 52m,6.1/10,27K,180,Comedy,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",Kat Coiro,John Rogers,Harper Dill,453,173 51
Dog,,2022,PG-13,1h 41m,6.5/10,25K,258,Comedy,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,Reid Carolin,Channing Tatum,Brett Rodriguez,272,111 61
Vengeance,,2022,R,1h 34m,6.5/10,86,165,Comedy,A radio host from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.,B.J. Novak,B.J. Novak,Nathaniel Augustson,,
Fresh,,2022,R,1h 54m,6.7/10,45K,201,Comedy,The horrors of modern dating seen through one young woman's defiant battle to survive her new boyfriend's unusual appetites.,Mimi Cave,Lauryn Kahn,Sebastian Stan,405,182 67
Love & Gelato,,2022,TV-14,1h 50m,5.1/10,4K,569,Comedy,"Lina makes a promise to her sick mother that she'll spend the summer before college in Rome, where she falls for the city, the people - and the ""gelato"".",Brandon Camp,Brandon Camp,Susanna Skaggs,,
Hocus Pocus 2,,2022,Null,Null,,,394,Comedy,Three young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,Anne Fletcher,Null,Null,,
Mr. Malcolm's List,,2022,PG,1h 57m,5.3/10,866,217,Comedy,A young woman courts a mysterious wealthy suitor in 19th century England.,Emma Holly Jones,Suzanne Allain,Sope Dirisu,36,24 65
Trở Lại Năm Tốt Nghiệp,Senior Year,2022,C18,1h 51m,5.5/10,34K,333,Comedy,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen.",Alex Hardcastle,Andrew Knauer,Brandon Scott Jones,450,69 47
1UP,,2022,R,1h 40m,2.8/10,681,419,Comedy,Follows a gamer who quits her college esports team due to sexism from her male counterparts.,Kyle Newman,Julia Yorks,Taylor Zakhar Perez,,
See How They Run,,2022,Null,Null,,,695,Comedy,"A desperate Hollywood film producer sets out to turn a popular play into a film. When members of the production are murdered, world-weary Inspector Stoppard and rookie Constable Stalker find themselves in the midst of a puzzling whodunit.",Tom George,Null,Null,,
Fire Island,,2022,R,1h 45m,6.7/10,7.6K,518,Comedy,A pair of best friends set out to have a legendary week-long summer vacation with the help of cheap rosé and a group of eclectic friends.,Andrew Ahn,Joel Kim Booster,Bowen Yang,81,53 72
Honk for Jesus. Save Your Soul.,,2022,Null,Null,5.9/10,198,"1,648",Comedy,"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist Mega Church, attempts to help her pastor-husband, Lee-Curtis Childs, rebuild their congregation.",Adamma Ebo,Null,Null,3,29 65
Roald Dahl's Matilda the Musical,,2022,Null,Null,,,760,Comedy,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",Matthew Warchus,Null,Null,,
Nude Tuesday,,2022,Null,Null,5.7/10,365,"1,597",Comedy,A suburban couple goes to a new-age retreat as a last ditch attempt to save their marriage. Their path to reconnection is riddled with hilarity and humiliation as they seek to find themselves and each other.,Armagan Ballantyne,Null,Null,14,7 78
Người Kiến Và Chiến Binh Ong: Lượng tử giới,Ant-Man and the Wasp: Quantumania,2023,Null,Null,,,867,Action,The further adventures of Ant-Man and the Wasp.,Peyton Reed,Null,Null,,
Orphan: First Kill,,2022,R,1h 39m,,,46,Crime,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family.",William Brent Bell,David Coggeshall,Alex Mace,,
Án Mạng Trên Sông Nile,Death on the Nile,2022,C16,2h 7m,6.3/10,128K,68,Crime,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",Kenneth Branagh,Michael Green,Tom Bateman,1K,263 52
Killers of the Flower Moon,,2022,Null,Null,,,78,Crime,Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.,Martin Scorsese,Null,Null,,
The Outfit,,2022,R,1h 45m,7.1/10,28K,216,Crime,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,Graham Moore,Graham Moore,Mark Rylance,281,109 69
Quyết Tâm Chia Tay,Heojil kyolshim,2022,C16,2h 18m,7.6/10,1.7K,375,Crime,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,Park Chan-wook,Park Chan-wook,Tang Wei,13,38 88
Quá Nhanh Quá Nguy Hiểm 10,Fast X,2023,Null,Null,,,471,Action,Plot unknown.,Louis Leterrier,Null,Null,,
Resurrection,,2022,Null,Null,6.6/10,358,402,Crime,"Margaret's life is in order. She is capable, disciplined, and successful. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret's past.",Andrew Semans,Null,Null,10,66 70
Wrong Place,,2022,Null,Null,3.2/10,233,353,Action,"A methamphetamines cook hunts down the former Police chief of a small town in order to silence him before he can deliver eyewitness testimony against his family, but ultimately finds himself up against more than he had bargained for.",Mike Burns,Null,Null,,
Tử Thần Vùng Texas,Texas Chainsaw Massacre,2022,R,1h 23m,4.8/10,49K,772,Crime,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town.",David Blue Garcia,Chris Thomas Devlin,Rodo Sayagues,1.4K,226 34
Glass Onion: A Knives Out Mystery,,2022,Null,Null,,,546,Crime,Plot unknown. Sequel to the 2019 film 'Knives Out'.,Rian Johnson,Null,Null,,
K.G.F: Chapter 2,,2022,Not Rated,2h 48m,8.4/10,113K,"1,008",Action,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,Prashanth Neel,Sanjay Dutt,,
Emily the Criminal,,2022,Null,Null,7.0/10,282,"1,016",Crime,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",John Patton Ford,Null,Null,2,48 75
Batgirl,,2022,Null,Null,,,722,Action,"Based upon the popular DC character, Barbara Gordon dons the guise of Batgirl to fight crime.",Adil El Arbi,Null,Null,,
Girl in the Picture,,2022,TV-MA,1h 41m,7.3/10,9.8K,33,Documentary,"A young mother's mysterious death and her son's subsequent kidnapping blow open a decades-long mystery about the woman's true identity, and the murderous federal fugitive at the center of it all.",Skye Borgman,Karen Parsley,Merle Bean,,
What Is a Woman?,,2022,Null,Null,8.6/10,19K,107,Documentary,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, transphobia, and what it means to be a woman.",Justin Folk,Null,Null,,
How to Change Your Mind,,2022,Null,Null,8.2/10,816,271,Documentary,"It showcases what psychedelics teaches people about consciousness, dying, addiction, depression and transcendence.",Michael Pollan,Null,Null,,
D.B. Cooper: Where Are You?!,,2022,Null,Null,5.3/10,1.4K,180,Documentary,"It follows the 50-year quest to find Cooper, the man who hijacked a Northwest Airlines passenger jet in November 1971 and escaped with $200,000.",Tom Colbert,Null,Null,,
Unprecedented,,2022,Null,Null,5.8/10,304,978,Documentary,"A ground-breaking documentary series with exclusive access to President Donald J. Trump and the First Family as he launches his 2020 re-election campaign, disputes the results of the Presidential election and shakes the foundations of American democracy.",Donald Trump,Null,Null,,
Keep Sweet: Pray and Obey,,2022,Null,Null,7.4/10,8.6K,568,Documentary,Examines the rise of Warren Jeffs in the Fundamentalist Church of Jesus Christ of Latter-Day Saints and his shocking criminal case.,Mike Watkiss,Null,Null,,
My Daughter's Killer,,2022,TV-MA,1h 23m,6.9/10,832,495,Documentary,A father fights for decades to bring his daughter's killer to justice in France and Germany before taking extreme measures,Antoine Tassin,Marek Gajda,Emil Petrov,,
2000 Mules,,2022,Null,Null,6.3/10,7.2K,"1,803",Documentary,"A documentary film which claims widespread, coordinated voter fraud in the 2020 election, sufficient to change the overall outcome.",Debbie D'Souza,Null,Null,,
Ranveer vs. Wild with Bear Grylls,,2022,TV-14,1h 10m,7.0/10,4.1K,"3,281",Documentary,"Click through this interactive special, helping superstar Ranveer Singh and adventurer Bear Grylls brave the Serbian wilderness to find a rare flower.",James Turner,Shantanu Srivastava,Bear Grylls,,
Mind Over Murder,,2022,Null,Null,6.5/10,293,634,Documentary,"Chronicles the bizarre and psychologically complex story of six individuals who were convicted for the 1985 murder of a beloved 68- year-old grandmother, Helen Wilson, in Beatrice, Nebraska.",Cara D'Adamo,Null,Null,,
Những Trò Đùa Ngu Ngốc 4,Jackass Forever,2022,R,1h 36m,6.9/10,39K,"1,888",Documentary,"After 11 years, the Jackass crew is back for another crusade.",Jeff Tremaine,Jason 'Wee Man' Acuña,J.P. Blackmon,285,112 74
Fire of Love,,2022,PG,1h 33m,7.7/10,582,"1,054",Documentary,Intrepid scientists and lovers Katia and Maurice Krafft died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of volcanoes by capturing the most explosive imagery ever recorded.,Sara Dosa,Shane Boris,Jocelyne Chaput,5,48 84
Prehistoric Planet,,2022,Null,Null,8.6/10,6.2K,"1,165",Documentary,"Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas and skies.",David Attenborough,Null,Null,,
My Old School,,2022,Null,Null,7.3/10,117,"1,092",Documentary,"In 1993, 16-year-old Brandon Lee enrolled at Bearsden Academy, a secondary school in a well-to-do suburb of Glasgow, Scotland. What followed over the next two years became the stuff of legend.",Jono McLeod,Null,Null,4,48 63
Our Father,,2022,TV-MA,1h 37m,6.5/10,9.9K,"2,181",Documentary,"After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor.",Lucie Jourdan,Jacoba Ballard,Matt White,83,24 43
Captive Audience,,2022,Null,Null,6.8/10,1.3K,"1,870",Documentary,"Follows the life of Steven Stayner and his family, diving into the family's 50-year journey to unravel the tale of two brothers, one deemed a villain and the other a hero.",Todd Eric Andrews,Null,Null,,
This Much I Know to Be True,,2022,Null,Null,7.9/10,731,,Documentary,"Explores the creative relationship and songs from Nick Cave and Warren Ellis' last two studio albums, ""Ghosteen"" and ""Carnage"".",Andrew Dominik,Null,Null,3,23 81
Jeen-yuhs: A Kanye Trilogy,,2022,Null,Null,8.0/10,8.5K,"3,708",Documentary,"Follows the life of Kanye West, in an intimate portrait as he builds his way from singer to businessman and becomes a global brand.",Ye,Null,Null,,
Kẻ Lừa Đảo Trên Tinder,The Tinder Swindler,2022,C16,1h 54m,7.2/10,62K,"2,831",Documentary,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback.",Felicity Morris,Felicity Morris,Cecilie Fjellhøy,,
The Deep End,,2022,Null,Null,6.5/10,650,"2,052",Documentary,An arresting and provocative exploration inside the world of one of today's most controversial spiritual teachers and her dedicated followers.,Teal Swan,Null,Null,,
Halftime,,2022,TV-MA,1h 35m,6.5/10,4K,"4,390",Documentary,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,Amanda Micheli,Sam Wrench,Ben Affleck,96,19 63
Machine Gun Kelly's Life in Pink,,2022,TV-MA,1h 41m,6.0/10,879,,Documentary,"Pain, passion, and love, get a look into the mind of Machine Gun Kelly.",Sam Cahill,Machine Gun Kelly,Casie Baker,,
The Last Movie Stars,,2022– ,Null,Null,8.3/10,201,,Documentary,Follows a celebration of Joanne Woodward and Paul Newman's lives.,George Clooney,Null,Null,,
Gabby Giffords Won't Back Down,,2022,PG-13,1h 38m,7.5/10,94,"4,571",Documentary,"Looking at the former congresswoman's courage and perseverance in the aftermath of the 2011 assassination attempt that left her partially paralyzed and with a language impairment, aphasia.",Julie Cohen,Betsy West,Mark Kelly,3,15 73
Dreaming Walls,,2022,Null,Null,6.5/10,57,,Documentary,The end of an long upmarket renovation of the legendary Chelsea Hotel is partly longed for and partly dreaded by the artists who still live there. The film grants us access to their apartments and interweaves the past with the present.,Maya Duverdier,Null,Null,1User review,24 72
McEnroe,,2022,Null,Null,7.6/10,29,,Documentary,It follows John McEnroe as he finally tells his side of his storied career and performances on the court.,Barney Douglas,Null,Null,,
Moonage Daydream,,2022,Null,Null,7.8/10,71,"4,241",Documentary,"A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",Brett Morgen,Null,Null,,
Rich & Shameless,,2022,Null,Null,5.9/10,118,"3,106",Documentary,"It tells the stories of fame, fortune and the problems that follow.",Shaquille O'Neal,Null,Null,,
Navalny,,2022,R,1h 38m,7.3/10,13K,,Documentary,Follows the man who survived an assassination attempt by poisoning with a lethal nerve agent in August 2020. During his months-long recovery he makes shocking discoveries about the attempt on his life and decides to return home.,Daniel Roher,Alexei Navalny,Dasha Navalnaya,63,142 82
Worst Roommate Ever,,2022,Null,Null,7.1/10,7.1K,"2,366",Documentary,"When Alex Miller let Jed Creek rent her room via Craigslist, she had no idea that he was a notorious serial squatter, and that he would use his knowledge of tenancy laws to slowly kick her out of her own home.",Alex Miller,Null,Null,,
Bad Vegan: Fame. Fraud. Fugitives.,,2022,Null,Null,5.8/10,6.3K,"2,643",Documentary,"After marrying a mysterious man who claimed he could make her dog immortal, a celebrated vegan restaurateur finds her life veering off the rails.",Sarma Melngailis,Null,Null,,
Conversations with a Killer: The John Wayne Gacy Tapes,,2022,Null,Null,7.1/10,6.7K,"2,620",Documentary,Never-before-heard audio from the interrogation of serial killer John Wayne Gacy threads through this chilling look at his 1970s murder spree.,Sam Amirante,Null,Null,,
The Invisible Pilot,,2022,Null,Null,6.2/10,814,"2,798",Documentary,"Follows the story of a seemingly happy husband and father who unexpectedly jumped off a bridge in 1977, and years later it's found that there might had been hypnosis, secret identities and a dangerous double life and law-breaking involved.",Konstantin Podprugin,Null,Null,,
Chernobyl: The Lost Tapes,,2022,Null,Null,8.1/10,884,,Documentary,Newly-discovered archive footage and witness accounts to lay bare the tragedy and heroic efforts made to prevent another explosion.,James Jones,Null,Null,,
Gladbeck: The Hostage Crisis,,2022,Null,Null,7.5/10,1.8K,,Documentary,"In August 1988, two armed bank robbers keep German and Dutch police at bay for 54 hours during a hostage-taking drama that ends badly.",Volker Heise,Null,Null,,
Meltdown: Three Mile Island,,2022,Null,Null,6.8/10,3.4K,"3,038",Documentary,"Insiders recount the events, controversies and lingering effects of the accident at the Three Mile Island nuclear power plant in Pennsylvania.",Rick Parks,Null,Null,,
Leave No Trace,,2022,Null,Null,7.2/10,92,,Documentary,"The Boy Scouts Of America reached a $2.7 billion agreement over sex abuse claims, the largest such settlement in history.",Irene Taylor,Null,Null,,
The Janes,,2022,Null,Null,7.2/10,723,,Documentary,"Police arrested seven women who were part of a clandestine network. Using code names, blindfolds and safe houses, they built an underground service for women seeking safe, affordable, illegal abortions calling themselves JANE.",Tia Lessin,Null,Null,12,22 83
Theodore Roosevelt,,2022,Null,Null,8.2/10,196,"2,444",Documentary,Two-part series on U.S. President Theodore Roosevelt looking at his work as a progressive reformer as well as his contradictions such as being a passionate conservationist who also hunted animals.,Rufus Jones,Null,Null,,
Xa Ngoài Kia Nơi Loài Tôm Hát,Where the Crawdads Sing,2022,C16,2h 5m,7.1/10,4.7K,6,Drama,A woman who raised herself in the marshes of the deep South becomes a suspect in the murder of a man she was once involved with.,Olivia Newman,Delia Owens,Daisy Edgar-Jones,141,69 42
Persuasion,,2022,PG,1h 47m,5.6/10,12K,5,Drama,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",Carrie Cracknell,Ron Bass,Jane Austen,514,74 42
Amsterdam,,2022,Null,Null,,,41,Drama,"Set in the '30s, it follows three friends who witness a murder, become suspects themselves, and uncover one of the most outrageous plots in American history.",David O. Russell,Null,Null,,
Crimes of the Future,,2022,R,1h 47m,5.9/10,14K,73,Drama,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",David Cronenberg,David Cronenberg,Léa Seydoux,237,160 65
Men,,2022,R,1h 40m,6.1/10,22K,45,Drama,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Alex Garland,Alex Garland,Rory Kinnear,403,176 65
Les liaisons dangereuses,,2022,TV-MA,1h 49m,3.9/10,1K,457,Drama,"Book smart Célène falls for bad boy Tristan at her new Biarritz high school, unaware she's part of a cruel bet he's made with social media queen Vanessa.",Rachel Suissa,Slimane-Baptiste Berhoun,Rachel Suissa,,
Watcher,,2022,R,1h 31m,6.3/10,11K,88,Drama,"A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women.",Chloe Okuno,Zack Ford,Maika Monroe,158,96 70
Tu Viện Downton: Kỷ Nguyên Mới,Downton Abbey: A New Era,2022,PG,2h 4m,7.5/10,15K,121,Drama,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,Simon Curtis,Julian Fellowes,Jim Carter,207,118 63
Don't Make Me Go,,2022,R,1h 49m,6.4/10,1.3K,42,Drama,"When a single father to a teenage daughter learns that he has a fatal brain tumor, he takes her on a road trip to find the mother who abandoned her years before and to try to teach her everything she might need over the rest of her life.",Hannah Marks,Vera Herbert,Mia Isaac,30,44 54
How to Please a Woman,,2022,Null,Null,6.1/10,470,332,Drama,"When her all-male house-cleaning business gets out of control, a mature woman must embrace her own sexuality, if she is to make a new life for herself.",Renée Webster,Null,Null,15,20 54
Vùng Nước Biển Sâu,Deep Water,2022,R,1h 55m,5.4/10,40K,116,Drama,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,Adrian Lyne,Zach Helm,Patricia Highsmith,573,166 53
Terror on the Prairie,,2022,TV-MA,1h 47m,5.8/10,4.4K,399,Drama,"On the Montana plains, a frontier woman must protect herself against a ruthless gang of outlaws hell-bent on revenge.",Michael Polish,Josiah Nelson,Nick Searcy,,
Lời Khai Chấn Động,She Said,2022,Null,Null,,,103,Drama,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation — a story that helped launch the #MeToo movement and shattered decades of silence around the subject of sexual assault in Hollywood.,Maria Schrader,Null,Null,,
Zombies 3,,2022,TV-G,1h 28m,5.2/10,1.2K,15,Family,"Zed anticipates an athletic scholarship while Addison is gearing up for Seabrook's international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, causing more than friendly competition.",Paul Hoen,David Light,Meg Donnelly,,
Secret Headquarters,,2022,Null,Null,,,630,Action,"Young Charlie Kincaid, who discovers a secret headquarters under his home that seems to belong to a superhero. He shares it with his friends, and they start to believe that his estranged father might have a secret double life.",Henry Joost,Null,Null,,
Wonka,,2023,Null,Null,,,522,Adventure,The story will focus specifically on a young Willy Wonka and how he met the Oompa-Loompas on one of his earliest adventures.,Paul King,Null,Null,,
Cậu Bé Người Gỗ,Pinocchio,2022,Null,Null,,,"1,042",Adventure,A live-action adaptation of Disney's 'Pinocchio'.,Robert Zemeckis,Null,Null,,
Disney's Snow White,,2023,Null,Null,,,"1,615",Adventure,Live-action adaptation of the 1937 Disney animated film 'Snow White and the Seven Dwarfs'.,Marc Webb,Null,Null,,
The King's Daughter,,2022,PG,1h 30m,5.1/10,3.6K,"2,200",Action,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",Sean McNamara,Barry Berman,Vonda N. McIntyre,70,39 31
The Flash,,2023,Null,Null,,,526,Action,"The plot is unknown. Feature film based on the comic book superhero, The Flash.",Andy Muschietti,Null,Null,,
Three Thousand Years of Longing,,2022,R,1h 48m,5.8/10,476,677,Drama,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",George Miller,George Miller,A.S. Byatt,,
Aquaman và Vương Quốc Thất Lạc,Aquaman and the Lost Kingdom,2023,Null,Null,,,944,Action,Plot unknown. Sequel to the 2018 film 'Aquaman.',James Wan,Null,Null,,
Jaadugar,,2022,TV-14,2h 47m,7.1/10,4.1K,48,Comedy,"Magic Meenu, a small-time magician in Neemuch, M.P., has to win a local football tournament in order to marry the girl he loves.",Sameer Saxena,Biswapati Sarkar,Arushi Sharma,,
Samrat Prithviraj,,2022,Null,Null,6.8/10,51K,918,Action,A fearless warrior. An epic love story. Witness the grand saga of Samrat Prithviraj Chauhan.,Chandra Prakash Dwivedi,Null,Null,,
Kira & El Gin,,2022,Not Rated,2h 55m,8.1/10,1.5K,"1,799",Action,Two men team up to fight against British occupation in Egypt during the 1919 revolution.,Marwan Hamed,Ahmed Mourad,Ahmed Ezz,,
Against the Ice,,2022,TV-MA,1h 42m,6.5/10,21K,"1,491",Adventure,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.",Peter Flinth,Nikolaj Coster-Waldau,Ejnar Mikkelsen,135,66 49
Ponniyin Selvan: Part One,,2022,Null,Null,,,,Drama,An adaptation of a historical novel by Kalki Krishnamurthy.,Mani Ratnam,Null,Null,,
Mat Kilau,,2022,Null,Null,6.8/10,796,,Action,The film is inspired by the epic Malaysian historical figure Mat Kilau who had fought against the British colonists in Pahang before independence.,Syamsul Yusof,Null,Null,,
Corsage,,2022,Null,Null,7.1/10,192,,Biography,Empress Elizabeth of Austria is idolized for her beauty and renowned for inspiring fashion trends. In 1877 Christmas Empress turns 40 and is officially deemed an old woman she starts trying to maintain her public image.,Marie Kreutzer,Null,Null,1User review,25 81
The Haunting of the Tower of London,,2022,Null,Null,6.2/10,1.1K,,History,"When the remains of two murdered Princes are discovered at the Tower of London, a troubled Priest must put his beliefs aside to befriend a mysterious prisoner, who has supernatural powers to communicate with the dead. Together they must solve the mystery of who murdered the Princes, as prisoners in the castle dungeon meet their bloody fates at the hands of the Princes... Read all",Charlie Steeds,Null,Null,,
The Nightingale,,2023,Null,Null,,,"3,920",Drama,The lives of two sisters living in France are torn apart at the onset of World War II. Based on Kristin Hannah's novel 'The Nightingale'.,Mélanie Laurent,Null,Null,,
Chú Nguyền,Incantation,2022,TV-MA,1h 50m,6.2/10,5.7K,34,Horror,"Six years ago, Li Ronan was cursed after breaking a religious taboo. Now, she must protect her daughter from the consequences of her actions.",Kevin Ko,Che-Wei Chang,Hsuan-yen Tsai,,
Không,Nope,2022,R,2h 10m,7.6/10,10K,3,Horror,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,Jordan Peele,Keke Palmer,312,72 76
X,,2022,R,1h 45m,6.6/10,54K,32,Horror,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,Ti West,Jenna Ortega,582,216 78
Tiếng Thét 5,Scream,2022,R,1h 54m,6.4/10,98K,119,Horror,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Matt Bettinelli-Olpin,Tyler Gillett,Guy Busick,1.5K,314 60
Barbarian,,2022,R,1h 42m,,,360,Horror,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,Zach Cregger,Bill Skarsgård,,
Tiếng Thét 6,Scream 6,2023,Null,Null,,,339,Horror,"In the next installment, the four survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",Matt Bettinelli-Olpin,Null,Null,,
Halloween Ends,,2022,Null,Null,,,75,Horror,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in this final installment of the franchise.,David Gordon Green,Null,Null,,
Lời Mời Đến Địa Ngục,The Invitation,2022,Null,Null,,,476,Horror,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot.",Jessica M. Thompson,Null,Null,,
Người Khởi Lửa,Firestarter,2022,C18,1h 34m,4.6/10,12K,566,Drama,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,Keith Thomas,Stephen King,Zac Efron,361,162 32
